anio,semana,temp_media,temp_max,temp_min,temp_rango,temp_superficie,precipitacion_mm,humedad_media,humedad_especifica,radiacion_solar,radiacion_onda_larga,viento_medio,viento_max,presion,humedad_suelo,evapotranspiracion,punto_rocio,precipitacion_acum,provincia
2018,1,23.268571428571427,32.04714285714285,14.20142857142857,17.845714285714287,24.60571428571429,29.44,46.35,7.535714285714286,28.72,30.872857142857146,2.9085714285714284,5.375714285714286,99.63142857142857,0.6214285714285713,0.3628571428571429,9.319999999999999,29.44,Buenos Aires
2018,2,24.51571428571429,31.797142857142855,17.12,14.677142857142856,25.315714285714286,28.099999999999998,60.83,11.062857142857142,24.917142857142856,33.78142857142857,2.8442857142857143,4.464285714285714,100.07285714285715,0.64,0.3742857142857143,14.792857142857143,28.099999999999998,Buenos Aires
2018,3,24.271428571428572,32.68857142857143,15.938571428571427,16.75,25.297142857142855,4.9799999999999995,56.917142857142856,9.782857142857143,25.91142857142857,31.975714285714286,2.0214285714285714,3.491428571428571,99.9742857142857,0.6428571428571429,0.5728571428571428,13.315714285714288,4.9799999999999995,Buenos Aires
2018,4,23.009999999999998,31.021428571428572,15.134285714285713,15.887142857142859,24.244285714285716,6.87,55.38142857142857,9.211428571428572,26.080000000000002,31.669999999999998,2.967142857142857,4.577142857142857,99.81428571428572,0.6214285714285713,0.08714285714285715,12.01,6.87,Buenos Aires
2018,5,26.21,35.769999999999996,16.907142857142855,18.86285714285714,28.074285714285715,0.8,47.44571428571429,9.022857142857143,28.895714285714284,31.41142857142857,3.005714285714286,4.201428571428571,99.97285714285714,0.6042857142857142,0.0014285714285714286,12.164285714285715,0.8,Buenos Aires
2018,6,26.324285714285715,34.55571428571428,18.349999999999998,16.205714285714286,28.154285714285713,5.01,40.777142857142856,8.472857142857142,27.377142857142854,32.11714285714286,2.8385714285714285,4.4157142857142855,99.76,0.6,0.0,10.530000000000001,5.01,Buenos Aires
2018,7,25.205714285714286,34.26857142857143,15.78,18.48857142857143,26.84142857142857,0.96,40.81,7.642857142857143,27.084285714285716,30.762857142857143,2.912857142857143,4.227142857142857,100.3,0.6,0.0,8.968571428571428,0.96,Buenos Aires
2018,8,21.73857142857143,30.127142857142854,14.27,15.857142857142858,23.0,27.74,58.46,8.734285714285715,23.622857142857146,30.802857142857142,2.7028571428571433,4.132857142857143,100.20285714285716,0.6314285714285715,0.24857142857142858,11.678571428571429,27.74,Buenos Aires
2018,9,24.982857142857142,33.15714285714286,16.99142857142857,16.165714285714284,26.315714285714286,0.79,55.614285714285714,10.037142857142857,23.61285714285714,33.449999999999996,1.887142857142857,2.947142857142857,99.99428571428572,0.6085714285714285,0.004285714285714286,13.930000000000001,0.79,Buenos Aires
2018,10,21.360000000000003,30.472857142857144,12.879999999999999,17.592857142857145,22.41,11.24,44.144285714285715,6.29,22.96,30.46,3.0214285714285714,4.934285714285715,99.98142857142857,0.6042857142857142,0.002857142857142857,6.497142857142857,11.24,Buenos Aires
2018,11,18.895714285714284,27.49285714285714,10.344285714285714,17.14857142857143,19.225714285714286,11.35,49.74142857142857,6.448571428571428,20.571428571428573,29.194285714285716,3.23,5.67,99.57285714285715,0.6142857142857142,0.005714285714285714,6.258571428571429,11.35,Buenos Aires
2018,12,16.255714285714287,24.835714285714285,9.218571428571428,15.617142857142856,16.805714285714284,9.21,60.394285714285715,6.602857142857142,18.614285714285717,27.63,3.307142857142857,5.467142857142858,100.08,0.6128571428571429,0.004285714285714286,7.211428571428571,9.21,Buenos Aires
2018,13,18.937142857142856,27.31142857142857,11.572857142857144,15.73857142857143,19.175714285714285,20.23,66.03999999999999,8.561428571428571,17.02,30.07428571428571,2.48,3.948571428571429,100.35428571428572,0.6171428571428572,0.017142857142857144,11.248571428571429,20.23,Buenos Aires
2018,14,17.798571428571428,24.684285714285714,11.608571428571429,13.075714285714286,17.777142857142856,34.68,70.54714285714286,8.588571428571429,12.70142857142857,30.689999999999998,2.025714285714286,3.5628571428571427,100.17999999999999,0.6371428571428571,0.13142857142857142,11.438571428571427,34.68,Buenos Aires
2018,15,16.70714285714286,22.669999999999998,11.22,11.450000000000001,16.66857142857143,34.86,76.86428571428571,9.51142857142857,13.225714285714286,29.74285714285714,2.5742857142857143,4.511428571428572,100.51714285714286,0.7028571428571428,0.9714285714285714,12.064285714285715,34.86,Buenos Aires
2018,16,19.169999999999998,24.884285714285713,14.595714285714285,10.288571428571428,19.104285714285716,38.83,86.83142857142856,12.12142857142857,10.802857142857144,32.76857142857143,2.292857142857143,4.32,100.23714285714286,0.7271428571428571,1.32,16.872857142857143,38.83,Buenos Aires
2018,17,16.568571428571428,21.148571428571426,12.37857142857143,8.77,16.40142857142857,30.060000000000002,84.19857142857143,10.005714285714285,7.118571428571428,31.735714285714284,2.8085714285714287,4.192857142857143,100.40142857142857,0.7514285714285714,1.304285714285714,13.67,30.060000000000002,Buenos Aires
