anio,semana,departamento,provincia,cantidad_casos,temp_media,temp_max,temp_min,temp_rango,temp_superficie,precipitacion_mm,humedad_media,humedad_especifica,radiacion_solar,radiacion_onda_larga,viento_medio,viento_max,presion,humedad_suelo,evapotranspiracion,punto_rocio,precipitacion_acum
2018,2,CAPITAL,Misiones,1,26.46142857142857,31.40142857142857,21.72,9.68142857142857,26.557142857142857,69.78999999999999,75.14714285714285,15.895714285714286,20.054285714285715,35.42142857142857,0.0885714285714285,0.1999999999999999,99.2942857142857,0.5985714285714285,4.327142857142857,21.02142857142857,69.78999999999999
2018,2,O'Higgins,Chaco,1,28.48,35.68571428571429,22.212857142857143,13.472857142857142,28.73,44.39,65.05714285714285,14.95857142857143,23.47142857142857,36.21571428571429,0.3771428571428571,0.6142857142857142,99.99,0.5057142857142857,1.6557142857142857,20.004285714285714,44.39
2018,5,Banda,Santiago del Estero,1,26.95,34.83,20.365714285714287,14.464285714285714,26.91714285714286,14.27,68.55714285714285,14.531428571428572,24.40285714285714,35.40714285714286,0.1142857142857143,0.2714285714285714,98.20714285714284,0.5371428571428571,3.6028571428571428,19.360000000000003,14.27
2018,5,CAPITAL,Santiago del Estero,2,26.95,34.83,20.365714285714287,14.464285714285714,26.91714285714286,14.27,68.55714285714285,14.531428571428572,24.40285714285714,35.40714285714286,0.1142857142857143,0.2714285714285714,98.20714285714284,0.5371428571428571,3.6028571428571428,19.360000000000003,14.27
2018,5,COMUNA 9,CABA,1,26.767142857142854,35.00714285714286,19.164285714285715,15.842857142857143,28.52857142857143,0.02,53.02428571428572,10.584285714285716,29.24857142857143,32.69,2.7085714285714286,4.098571428571428,101.01285714285711,0.6071428571428571,0.0171428571428571,14.79142857142857,0.02
2018,6,COMUNA 4,CABA,2,26.325714285714287,32.964285714285715,19.854285714285712,13.11,27.604285714285712,37.72,54.58857142857143,10.912857142857144,25.93142857142857,33.98285714285714,2.4442857142857144,4.231428571428571,100.77,0.6185714285714285,1.1700000000000002,15.045714285714286,37.72
2018,7,Avellaneda,Buenos Aires,2,25.205714285714286,34.26857142857143,15.78,18.48857142857143,26.84142857142857,0.96,40.81,7.642857142857143,27.08428571428572,30.762857142857143,2.912857142857143,4.227142857142857,100.3,0.6,0.0,8.968571428571428,0.96
2018,8,CAPITAL,Misiones,2,23.43142857142857,28.177142857142854,18.667142857142856,9.510000000000002,23.50142857142857,51.29,78.99000000000001,14.174285714285714,22.474285714285717,33.06142857142857,0.1057142857142857,0.2828571428571428,99.22,0.6342857142857143,10.525714285714288,19.177142857142854,51.29
2018,8,COMUNA 3,CABA,1,23.051428571428573,29.485714285714288,17.16,12.325714285714286,24.15857142857143,18.06,66.37857142857142,11.041428571428572,23.352857142857143,32.160000000000004,2.3842857142857143,3.4171428571428573,101.16285714285712,0.6357142857142858,1.5057142857142856,15.411428571428573,18.06
2018,8,COMUNA 4,CABA,2,23.051428571428573,29.485714285714288,17.16,12.325714285714286,24.15857142857143,18.06,66.37857142857142,11.041428571428572,23.352857142857143,32.160000000000004,2.3842857142857143,3.4171428571428573,101.16285714285712,0.6357142857142858,1.5057142857142856,15.411428571428573,18.06
2018,9,Avellaneda,Buenos Aires,3,24.982857142857146,33.15714285714286,16.99142857142857,16.165714285714284,26.31571428571429,0.79,55.614285714285714,10.037142857142856,23.61285714285714,33.45,1.887142857142857,2.947142857142857,99.99428571428572,0.6085714285714285,0.0042857142857142,13.93,0.79
2018,9,COMUNA 15,CABA,1,25.74428571428572,33.09,19.035714285714285,14.054285714285712,27.377142857142854,0.22,59.71142857142858,11.308571428571428,24.26571428571429,33.25428571428571,1.9685714285714289,3.0242857142857145,101.04,0.6128571428571429,0.0728571428571428,15.93857142857143,0.22
2018,9,COMUNA 3,CABA,3,25.74428571428572,33.09,19.035714285714285,14.054285714285712,27.377142857142854,0.22,59.71142857142858,11.308571428571428,24.26571428571429,33.25428571428571,1.9685714285714289,3.0242857142857145,101.04,0.6128571428571429,0.0728571428571428,15.93857142857143,0.22
2018,9,COMUNA 4,CABA,1,25.74428571428572,33.09,19.035714285714285,14.054285714285712,27.377142857142854,0.22,59.71142857142858,11.308571428571428,24.26571428571429,33.25428571428571,1.9685714285714289,3.0242857142857145,101.04,0.6128571428571429,0.0728571428571428,15.93857142857143,0.22
2018,9,La Matanza,Buenos Aires,2,24.982857142857146,33.15714285714286,16.99142857142857,16.165714285714284,26.31571428571429,0.79,55.614285714285714,10.037142857142856,23.61285714285714,33.45,1.887142857142857,2.947142857142857,99.99428571428572,0.6085714285714285,0.0042857142857142,13.93,0.79
2018,10,Avellaneda,Buenos Aires,2,21.360000000000003,30.472857142857144,12.88,17.592857142857145,22.41,11.24,44.14428571428572,6.29,22.96,30.46,3.021428571428572,4.934285714285715,99.98142857142857,0.6042857142857142,0.0028571428571428,6.497142857142857,11.24
2018,10,CAPITAL,Misiones,1,25.09714285714286,31.268571428571427,19.235714285714288,12.032857142857145,24.917142857142856,1.11,66.66285714285713,13.064285714285717,23.465714285714284,33.03285714285715,0.18,0.5342857142857144,99.18714285714285,0.5957142857142858,6.8742857142857146,17.752857142857142,1.11
2018,10,COMUNA 2,CABA,1,22.96142857142857,31.107142857142858,15.472857142857142,15.634285714285712,24.28,1.3,49.25142857142857,7.775714285714286,24.19428571428572,30.69,2.7728571428571427,4.34,101.01857142857143,0.6,0.0,9.79857142857143,1.3
2018,10,COMUNA 3,CABA,1,22.96142857142857,31.107142857142858,15.472857142857142,15.634285714285712,24.28,1.3,49.25142857142857,7.775714285714286,24.19428571428572,30.69,2.7728571428571427,4.34,101.01857142857143,0.6,0.0,9.79857142857143,1.3
2018,10,COMUNA 4,CABA,3,22.96142857142857,31.107142857142858,15.472857142857142,15.634285714285712,24.28,1.3,49.25142857142857,7.775714285714286,24.19428571428572,30.69,2.7728571428571427,4.34,101.01857142857143,0.6,0.0,9.79857142857143,1.3
