id_depto_indec_residencia;departamento_residencia;id_prov_indec_residencia;provincia_residencia;anio_min;evento;id_grupo_etario;grupo_etario;sepi_min;cantidad
161;Tapenagá;22;Chaco;2023;Dengue;12;Mayores de 65 años;16;1
098;Río Cuarto;14;Córdoba;2023;Dengue;12;Mayores de 65 años;16;1
091;Punilla;14;Córdoba;2023;Dengue;9;De 25 a 34 años;16;2
021;Chicligasta;90;Tucumán;2023;Dengue;6;De 10 a 14 años;16;3
008;COMUNA 8;02;CABA;2023;Dengue;4;De 2 a 4 años;16;1
070;Las Colonias;82;Santa Fe;2023;Dengue;10;De 35 a 44 años;16;5
105;Tafí Viejo;90;Tucumán;2023;Dengue;9;De 25 a 34 años;16;69
084;Rosario;82;Santa Fe;2023;Dengue;9;De 25 a 34 años;16;73
252;Escobar;06;Buenos Aires;2023;Dengue;10;De 35 a 44 años;16;3
070;Santa Bárbara;38;Jujuy;2023;Dengue;7;De 15 a 19 años;16;1
119;Paso de los Libres;18;Corrientes;2023;Dengue;11;De 45 a 65 años;16;2
119;Yerba Buena;90;Tucumán;2023;Dengue;9;De 25 a 34 años;16;17
126;Campana;06;Buenos Aires;2023;Dengue;7;De 15 a 19 años;16;1
028;Capital;54;Misiones;2023;Dengue;8;De 20 a 24 años;16;1
009;COMUNA 9;02;CABA;2023;Dengue;11;De 45 a 65 años;16;35
252;Escobar;06;Buenos Aires;2023;Dengue;8;De 20 a 24 años;16;1
028;Almirante Brown;06;Buenos Aires;2023;Dengue;11;De 45 a 65 años;16;6
056;Guaraní;54;Misiones;2023;Dengue;10;De 35 a 44 años;16;1
133;Vera;82;Santa Fe;2023;Dengue;11;De 45 a 65 años;16;3
140;San Fernando;22;Chaco;2023;Dengue;9;De 25 a 34 años;16;111
014;Cruz Alta;90;Tucumán;2023;Dengue;11;De 45 a 65 años;16;44
098;Juan F. Ibarra;86;Santiago del Estero;2023;Dengue;6;De 10 a 14 años;16;2
056;La Capital;74;San Luis;2023;Dengue;8;De 20 a 24 años;16;2
077;Rawson;26;Chubut;2023;Dengue;11;De 45 a 65 años;16;1
140;San Luis del Palmar;18;Corrientes;2023;Dengue;10;De 35 a 44 años;16;1
007;COMUNA 7;02;CABA;2023;Dengue;7;De 15 a 19 años;16;6
028;Federación;30;Entre Ríos;2023;Dengue;12;Mayores de 65 años;16;1
